form	lemma	POS	morph
འཛམ་བུ་གླིང་པ་	འཛམ་བུ་གླིང་པ་	NOUN
འི་	གི་	PART
རྒྱལ་རབས་	རྒྱལ་རབས་	NOUN
སྤྱི་བྱིངས་	སྤྱི་བྱིངས་	NO_POS
ཀྱི་	གི་	PART
སྟོང་ཐུན་	སྟོང་ཐུན་	OTHER
ཟུར་ཙམ་	ཟུར་ཙམ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭ་		NON_WORD
སྟི་	སྟི་	NO_POS
།		PUNCT
སྔོན་བསགས་	སྔོན་བསགས་	OTHER
བསོད་ནམས་	བསོད་ནམས་	NOUN
དུ་མ་	དུ་མ་	ADJ
ས་	གིས་	PART
རྒྱུ་	རྒྱུ་	NOUN
བྱ་	བྱ་	VERB
ཞིང་	ཅིང་	PART
། །		PUNCT
རིགས་རུས་	རིགས་རུས་	NO_POS
ཆོ་འབྲང་	ཆོ་འབྲང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
ས་	གིས་	PART
རྐྱེན་	རྐྱེན་	NOUN
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
། །		PUNCT
རྒྱུ་རྐྱེན་	རྒྱུ་རྐྱེན་	OTHER
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
འཛོམས་པ་	འཛོམས་པ་	VERB
ས་	གིས་	PART
གླིང་བཞི་	གླིང་བཞི་	NO_POS
ལ་	ལ་	PART
། །		PUNCT
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
སྒྱུ་	སྒྱུ་	VERB
རྒྱལ་	རྒྱལ་	VERB
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
འང་	ཀྱང་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
ར་	ལ་	PART
བགྱི་	བགྱི་	VERB
། །		PUNCT
སྤྱི་	སྤྱི་	DET
རུ་	ལ་	PART
ལྷ་	ལྷ་	NOUN
མི་	མི་	PART
འི་	གི་	PART
རྗེར་		NON_WORD
གྱུར་	གྱུར་	VERB
རྒྱལ་རིགས་	རྒྱལ་རིགས་	NOUN
ལ་	ལ་	PART
། །		PUNCT
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
ཕྱེ་	ཕྱེ་	VERB
ན་	ལ་	PART
སུམ་བརྒྱ་	སུམ་བརྒྱ་	OTHER
དྲུག་ཅུ་	དྲུག་ཅུ་	NUM
ཡོད་	ཡོད་	VERB
། །		PUNCT
དེ་ལས་	དེ་ལས་	NO_POS
བསྡུ་	བསྡུ་	VERB
ན་	ལ་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
གཉིས་	གཉིས་	NUM
བཤད་	བཤད་	VERB
དེ་	སྟེ་	PART
། །		PUNCT
དག་པ་	དག་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྗེ་	རྗེ་	NO_POS
དང་	དང་	NO_POS
མ་	མ་	PART
དག་	དག་	DET
སེམས་ཅན་	སེམས་ཅན་	NOUN
རྗེ་	རྗེ་	NO_POS
། །		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྗེ་	རྗེ་	NO_POS
ནི་	ནི་	NO_POS
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
མཛད་	མཛད་	VERB
། །		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
རྗེ་	རྗེ་	NO_POS
ལ་	ལ་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ལྔ་	ལྔ་	NUM
ར་	ལ་	PART
དབྱེ་	དབྱེ་	VERB
ན་	ནས་	PART
། །		PUNCT
སྟོང་གསུམ་	སྟོང་གསུམ་	OTHER
དབང་	དབང་	NOUN
བྱེད་	བྱེད་	VERB
སྤྱི་ཕུད་	སྤྱི་ཕུད་	NO_POS
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
ས་འཛིན་	ས་འཛིན་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཕྱོགས་སྐྱོང་	ཕྱོགས་སྐྱོང་	NO_POS
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
རིགས་	རིགས་	NOUN
དྲུག་	དྲུག་	NUM
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འཛམ་གླིང་	འཛམ་གླིང་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
ལྔ་པོ་	ལྔ་པོ་	NUM
དེ་ཡང་	དེ་ཡང་	ADV
འཛམ་གླིང་	འཛམ་གླིང་	NOUN
སོག་ཁ་	སོག་ཁ་	NO_POS
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ལ་	ལ་	PART
། །		PUNCT
བསྐོས་	བསྐོས་	NO_POS
དང་	དང་	NO_POS
གདུང་རྒྱུད་	གདུང་རྒྱུད་	OTHER
གློ་བུ་	གློ་བུ་	OTHER
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ར་	ལ་	PART
བཤད་	བཤད་	VERB
། །		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
དེ་	སྟེ་	PART
གསུམ་	གསུམ་	NUM
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ས་	གིས་	PART
སྒྱུ་	སྒྱུ་	VERB
རྒྱལ་	རྒྱལ་	VERB
རྐྱེན་	རྐྱེན་	NOUN
། །		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
