form	lemma	POS	morph
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
ས་སྐྱ་	ས་སྐྱ་	PROPN
འཁོན་	འཁོན་	VERB
གྱི་	གི་	PART
གདུང་རབས་	གདུང་རབས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
དང་	དང་	NO_POS
མགོན་པོ་	མགོན་པོ་	NOUN
འཇམ་པ་	འཇམ་པ་	VERB
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ལ་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
།།		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
མཁྱེན་རབ་	མཁྱེན་རབ་	NOUN
མཐའ་ཡས་པ་	མཐའ་ཡས་པ་	ADJ
། །		PUNCT
གཅིག་	གཅིག་	NUM
ཏུ་	ལ་	PART
བསྡུ་	བསྡུ་	VERB
ན་	ནས་	PART
སྣ་མང་	སྣ་མང་	NO_POS
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
ལ་	ལ་	PART
། །		PUNCT
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
ཀྱིས་	གིས་	PART
དོན་	དོན་	NOUN
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
། །		PUNCT
འཁོན་	འཁོན་	VERB
སྟོན་	སྟོན་	VERB
རིམ་པ་	རིམ་པ་	NOUN
ར་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
དྲི་མེད་	དྲི་མེད་	ADJ
གདུང་རྒྱུད་	གདུང་རྒྱུད་	OTHER
རིམ་པ་	རིམ་པ་	NOUN
ར་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
མཛད་པ་	མཛད་པ་	VERB
ངོ་མཚར་	ངོ་མཚར་	ADJ
མཐའ་ཡས་པ་	མཐའ་ཡས་པ་	ADJ
ས་	གིས་	PART
། །		PUNCT
ཐུབ་བསྟན་	ཐུབ་བསྟན་	NOUN
གསལ་	གསལ་	VERB
དང་	དང་	NO_POS
འགྲོ་	འགྲོ་	VERB
ཀུན་	ཀུན་	DET
སྨིན་གྲོལ་	སྨིན་གྲོལ་	NOUN
ཚུལ་	ཚུལ་	NOUN
། །		PUNCT
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
ངོ་མཚར་	ངོ་མཚར་	ADJ
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
བདག་	བདག་	PRON
གིས་	གིས་	PART
སྤེལ་	སྤེལ་	VERB
། །		PUNCT
བདག་ཅག་	བདག་ཅག་	PRON
གི་	གི་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
རྒྱལ་ཚབ་	རྒྱལ་ཚབ་	NOUN
དམ་པ་	དམ་པ་	VERB
།		PUNCT
འཁོན་	འཁོན་	VERB
གྱི་	གི་	PART
གདུང་རྒྱུད་	གདུང་རྒྱུད་	OTHER
རིན་པོ་	རིན་པོ་	NOUN
དེ་ཉིད་	དེ་ཉིད་	NOUN
།		PUNCT
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
འོད་གསལ་	འོད་གསལ་	NOUN
གྱི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བབས་པ་	བབས་པ་	VERB
ར་	ལ་	PART
བཞེད་	བཞེད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ས་	ས་	ADP
གཙང་གནས་	གཙང་གནས་	NO_POS
མཐོ་བ་	མཐོ་བ་	VERB
།		PUNCT
ལ་སྟོད་	ལ་སྟོད་	PROPN
མངའ་རིས་	མངའ་རིས་	PROPN
ཀྱི་	གི་	PART
ས་ཆ་	ས་ཆ་	NOUN
ར་	ལ་	PART
གནམ་	གནམ་	NOUN
ན་	ནས་	PART
།		PUNCT
ལྷ་	ལྷ་	NOUN
མཆེད་	མཆེད་	NOUN
གསུམ་	གསུམ་	NUM
བྱོན་པ་	བྱོན་པ་	VERB
འི་	གི་	PART
ཆེ་བ་	ཆེ་བ་	VERB
གནམ་	གནམ་	NOUN
ལྷ་	ལྷ་	NOUN
སྤྱི་	སྤྱི་	DET
རིང་	རིང་	NOUN
།		PUNCT
བར་པ་	བར་པ་	NOUN
གནམ་	གནམ་	NOUN
ལྷ་	ལྷ་	NOUN
གཡུ་	གཡུ་	NOUN
རིང་	རིང་	NOUN
།		PUNCT
